course_num,last_name,first_name,a_num,b_num,c_num,d_num,f_num,i_num,s_num,w_num,o_num,total_num
80054,Tang,Christian,0,0,0,0,0,0,0,0,0,0
80054,Tang,Christian,0,0,0,0,0,0,0,0,0,0
80055,Tang,Christian,0,0,0,0,0,0,0,0,0,0
80055,Tang,Christian,0,0,0,0,0,0,0,0,0,0
80056,Hashim,Alaa,0,0,0,0,0,0,0,0,0,0
80056,Hashim,Alaa,0,0,0,0,0,0,0,0,0,0
80057,Senevirathne,Kona,0,0,0,0,0,0,0,0,0,0
80057,Senevirathne,Kona,0,0,0,0,0,0,0,0,0,0
80058,Bryant,Sherrisse,0,0,0,0,0,0,0,0,0,0
80058,Bryant,Sherrisse,0,0,0,0,0,0,0,0,0,0
80059,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80060,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80061,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80062,Paudel,Rajesh,0,0,0,0,0,0,0,0,0,0
80063,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80064,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80065,Liu,Dexin,0,0,0,0,0,0,0,0,0,0
80066,Maji,Ipsita,0,0,0,0,0,0,0,0,0,0
80067,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80068,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80069,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80070,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80071,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80072,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80073,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80074,Nelsen,Isaiah,0,0,0,0,0,0,0,0,0,0
80075,Bagherifard Sharabiani,Mina,0,0,0,0,0,0,0,0,0,0
80076,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80077,Pittman,Amanda,0,0,0,0,0,0,0,0,0,0
80078,Nayyar,Pallavi,0,0,0,0,0,0,0,0,0,0
80079,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80080,Fontaine,Jarais,0,0,0,0,0,0,0,0,0,0
80081,Ward,Chloe,0,0,0,0,0,0,0,0,0,0
80082,Paudel,Rajesh,0,0,0,0,0,0,0,0,0,0
80083,Olatunji,Abigail,0,0,0,0,0,0,0,0,0,0
80084,Sellers,Delaney,0,0,0,0,0,0,0,0,0,0
80085,Anderson,Alissa,0,0,0,0,0,0,0,0,0,0
80086,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80087,Nayyar,Pallavi,0,0,0,0,0,0,0,0,0,0
80088,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80089,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80090,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80091,Fontaine,Jarais,0,0,0,0,0,0,0,0,0,0
