course_name,course_num,last_name,first_name,a_num,a_per,b_num,b_per,c_num,c_per,d_num,d_per,f_num,f_per,i_num,i_per,s_num,s_per,u_num,u_per,w_num,w_per,o_num,o_per,total_num
ECH-6931 -001-C (81069),81069,Kuhn,John,26,89.66,3,10.34,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,29
ECH-6906 -020-Z (82035),82035,Simmons,David,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,100.00,0,0.00,0,0.00,0,0,6
ECH-5931 -001-C (82194),82194,Goswami,Dharendra,9,50.00,9,50.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,18
ECH-4123 -001-C (82197),82197,Stern,Lawrence,9,15.25,10,16.95,16,27.12,16,27.12,8,13.56,0,0.00,0,0.00,0,0.00,0,0.00,0,0,59
ECH-4605 -001-C (82376),82376,Sunol,Aydin,10,40.00,14,56.00,1,4.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,25
ECH-4931 -001-C (82675),82675,Pyayt,Anna,25,96.15,0,0.00,0,0.00,1,3.85,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,26
EMA-4003 -001-C (82749),82749,Wijewardane,Samantha,12,54.55,7,31.82,2,9.09,1,4.55,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,22
EGN-3433 -901-C (83302),83302,Toomey,Ryan,24,25.81,31,33.33,22,23.66,10,10.75,4,4.30,0,0.00,0,0.00,0,0.00,2,2.15,0,0,93
ECH-6931 -003-C (83625),83625,Alcantar,Norma,6,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,6
ECH-6840 -001-C (84259),84259,Simmons,David,8,29.63,7,25.93,7,25.93,2,7.41,3,11.11,0,0.00,0,0.00,0,0.00,0,0.00,0,0,27
ECH-6931 -002-C (85341),85341,Goswami,Dharendra,3,42.86,3,42.86,0,0.00,0,0.00,1,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0,7
ECH-4605 -003-C (87296),87296,Sunol,Aydin,1,11.11,6,66.67,2,22.22,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,9
ECH-3854 -001-C (88748),88748,Cardenas,Michelle,21,58.33,9,25.00,5,13.89,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,2.78,0,0,36
ECH-4605 -002-C (88749),88749,Sunol,Aydin,3,11.11,17,62.96,6,22.22,0,0.00,1,3.70,0,0.00,0,0.00,0,0.00,0,0.00,0,0,27
ECH-4504 -001-C (88750),88750,Kuhn,John,2,20.00,5,50.00,3,30.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,10
ECH-3266 -001-C (88751),88751,Koria,Piyush,5,11.63,16,37.21,19,44.19,2,4.65,1,2.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0,43
ECH-3023 -001-C (88958),88958,Gupta,Vinay,3,8.11,5,13.51,11,29.73,5,13.51,8,21.62,0,0.00,0,0.00,0,0.00,4,10.81,1,3,37
ECH-4846 -001-C (88959),88959,Fawcett,Timothy,20,52.63,12,31.58,5,13.16,0,0.00,1,2.63,0,0.00,0,0.00,0,0.00,0,0.00,0,0,38
ECH-4944 -001-I (88979),88979,Koria,Piyush,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,10.00,9,90.00,0,0.00,0,0.00,0,0,10
ECH-4323 -001-C (91551),91551,Toomey,Ryan,10,15.63,18,28.13,17,26.56,12,18.75,6,9.38,0,0.00,0,0.00,0,0.00,1,1.56,0,0,64
EGN-3000L-007-L (92355),92355,Pyayt,Anna,91,91.92,4,4.04,0,0.00,0,0.00,3,3.03,0,0.00,0,0.00,0,0.00,1,1.01,0,0,99
ECH-3002 -001-C (92358),92358,Pettit,Sandra,51,63.75,19,23.75,3,3.75,2,2.50,0,0.00,0,0.00,0,0.00,0,0.00,4,5.00,1,1,80
