0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
CHM-2045 -002-C (80055),126,49.61,80,31.50,29,11.42,6,2.36,1,0.39,0,0.00,0,0.00,0,0.00,12,4.72,0,0,254
CHM-2045 -002I-C (80055),2,22.22,6,66.67,1,11.11,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,9
CHM-2045 -003-C (80056),90,36.14,80,32.13,38,15.26,9,3.61,7,2.81,0,0.00,0,0.00,0,0.00,25,10.04,0,0,249
CHM-2045 -003I-C (80056),0,0.00,4,80.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,20.00,0,0,5
CHM-2045 -004-C (80057),105,41.18,81,31.76,40,15.69,10,3.92,5,1.96,0,0.00,0,0.00,0,0.00,14,5.49,0,0,255
CHM-2045 -004I-C (80057),2,28.57,4,57.14,0,0.00,0,0.00,1,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0,7
CHM-2045 -005-C (80058),97,38.34,112,44.27,35,13.83,4,1.58,2,0.79,0,0.00,0,0.00,0,0.00,3,1.19,0,0,253
CHM-2045 -005I-C (80058),2,18.18,7,63.64,2,18.18,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,11
CHM-2045L-023-L (80059),21,87.50,2,8.33,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2045L-001-L (80060),16,66.67,4,16.67,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,12.50,0,0,24
CHM-2045L-003-L (80061),21,87.50,1,4.17,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.17,0,0,24
CHM-2045L-006-L (80062),23,95.83,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.17,0,0,24
CHM-2045L-024-L (80063),17,70.83,4,16.67,2,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.17,0,0,24
CHM-2045L-009-L (80064),20,83.33,3,12.50,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2045L-011-L (80065),19,79.17,4,16.67,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2045L-013-L (80066),19,79.17,4,16.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.17,0,0,24
CHM-2045L-026-L (80067),22,91.67,2,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2045L-014-L (80068),17,70.83,6,25.00,0,0.00,0,0.00,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
