course_name,course_num,last_name,first_name,a_num,a_per,b_num,b_per,c_num,c_per,d_num,d_per,f_num,f_per,i_num,i_per,s_num,s_per,u_num,u_per,w_num,w_per,o_num,o_per,total_num
EML-4302 -001-L (10615),10615,Gaines,Jonathan,15,57.69,8,30.77,2,7.69,0,0.00,1,3.85,0,0.00,0,0.00,0,0.00,0,0.00,0,0,26
EML-4302 -002-L (10616),10616,Gaines,Jonathan,15,57.69,10,38.46,0,0.00,0,0.00,1,3.85,0,0.00,0,0.00,0,0.00,0,0.00,0,0,26
EML-4501 -001-C (10617),10617,Baksh,Nicholas,11,21.57,33,64.71,7,13.73,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,51
EML-4551 -001-C (10618),10618,Carey,Stephanie,17,85.00,3,15.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,20
EML-4551 -002-C (10619),10619,Carey,Stephanie,17,85.00,3,15.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,20
EML-4106C-001-C (10886),10886,Pyrtle,Frank,27,25.96,43,41.35,24,23.08,5,4.81,2,1.92,0,0.00,0,0.00,0,0.00,3,2.88,0,0,104
EML-3701 -901-C (11010),11010,Guldiken,Rasim,6,12.00,22,44.00,16,32.00,4,8.00,1,2.00,0,0.00,0,0.00,0,0.00,1,2.00,0,0,50
EML-3262 -001-C (11256),11256,Lusk,Craig,16,34.04,17,36.17,11,23.40,1,2.13,1,2.13,0,0.00,0,0.00,0,0.00,1,2.13,0,0,47
EML-6930 -005-C (11391),11391,Kumar,Ashok,9,31.03,14,48.28,4,13.79,0,0.00,1,3.45,0,0.00,0,0.00,0,0.00,1,3.45,0,0,29
EGN-3343 -002-C (11392),11392,Yucelen,Gulfem,36,19.15,67,35.64,43,22.87,26,13.83,9,4.79,0,0.00,0,0.00,0,0.00,7,3.72,0,0,188
EML-4325 -001-C (11393),11393,Wilkinson,Stuart,18,30.00,17,28.33,11,18.33,3,5.00,9,15.00,0,0.00,0,0.00,0,0.00,2,3.33,0,0,60
EML-6930 -002-C (12533),12533,Wang,Cai Mike,8,88.89,1,11.11,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,9
EML-4302 -003-L (12536),12536,Gaines,Jonathan,14,60.87,8,34.78,1,4.35,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,23
EML-3303 -003-L (12537),12537,Goni Rodrigo,Miguel,14,70.00,6,30.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,20
EML-4551 -003-C (12538),12538,Carey,Stephanie,10,50.00,9,45.00,1,5.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,20
EML-4312 -001-C (12669),12669,Yucelen,Tansel,3,6.98,16,37.21,12,27.91,5,11.63,5,11.63,0,0.00,0,0.00,0,0.00,2,4.65,0,0,43
EML-4551 -004-C (12870),12870,Carey,Stephanie,10,52.63,9,47.37,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,19
EGN-3365 -001-C (13333),13333,Kumar,Ashok,19,21.11,48,53.33,12,13.33,2,2.22,5,5.56,0,0.00,0,0.00,0,0.00,4,4.44,0,0,90
EML-4220 -001-C (13377),13377,Hess,Daniel,23,31.94,25,34.72,18,25.00,3,4.17,2,2.78,0,0.00,0,0.00,0,0.00,1,1.39,0,0,72
EML-6273 -001-C (13378),13378,Baksh,Nicholas,7,46.67,7,46.67,0,0.00,0,0.00,1,6.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0,15
EML-6930 -004-C (13641),13641,Pyrtle,Frank,7,16.28,15,34.88,16,37.21,2,4.65,1,2.33,2,4.65,0,0.00,0,0.00,0,0.00,0,0,43
EML-6105 -901-C (13884),13884,Yucelen,Gulfem,8,29.63,8,29.63,6,22.22,2,7.41,1,3.70,1,3.70,0,0.00,0,0.00,1,3.70,0,0,27
EML-4123 -001-C (14920),14920,Pyrtle,Frank,6,8.33,30,41.67,29,40.28,3,4.17,2,2.78,2,2.78,0,0.00,0,0.00,0,0.00,0,0,72
EML-4930 -801-O (14983),14983,Krisa,Thomas,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,7,100.00,0,0.00,0,0.00,0,0,7
EML-6570 -001-C (16408),16408,Volinsky,Alexei,24,80.00,6,20.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,30
EML-4310 -001-C (16461),16461,Hess,Daniel,9,30.00,13,43.33,6,20.00,1,3.33,0,0.00,0,0.00,0,0.00,0,0.00,1,3.33,0,0,30
EML-3022 -901-C (16573),16573,Baksh,Nicholas,45,45.00,29,29.00,11,11.00,5,5.00,5,5.00,0,0.00,0,0.00,0,0.00,5,5.00,0,0,100
EML-6930 -001-C (16801),16801,Diaz Elsayed,Nancy,4,44.44,5,55.56,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,9
BME-4440 -001-C (17860),17860,Carey,Stephanie,8,33.33,16,66.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
EML-4575 -001-C (17861),17861,Volinsky,Alexei,4,21.05,11,57.89,3,15.79,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,5.26,0,0,19
EML-3303 -001-L (17863),17863,Goni Rodrigo,Miguel,19,82.61,4,17.39,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,23
EML-3303 -002-L (17864),17864,Goni Rodrigo,Miguel,19,79.17,4,16.67,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
EML-4503 -001-C (17865),17865,Diaz Elsayed,Nancy,14,58.33,3,12.50,7,29.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
OSE-4601 -001-C (17868),17868,Wilkinson,Stuart,7,50.00,6,42.86,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
EML-4930 -802-O (18965),18965,Krisa,Thomas,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,7,100.00,0,0.00,0,0.00,0,0,7
EGN-4930 -701-O (19114),19114,Pitts,Arias,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,116,99.15,1,0.85,0,0.00,0,0,117
EML-4930 -001-C (19176),19176,Yucelen,Gulfem,24,44.44,25,46.30,4,7.41,1,1.85,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,54
EML-3303 -004-L (19810),19810,Goni Rodrigo,Miguel,13,59.09,8,36.36,1,4.55,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,22
EML-4302 -004-L (19811),19811,Gaines,Jonathan,14,70.00,5,25.00,1,5.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,20
EML-4551 -005-C (20572),20572,Carey,Stephanie,15,78.95,4,21.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,19
EML-4551 -006-C (20573),20573,Carey,Stephanie,5,45.45,5,45.45,1,9.09,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,11
EML-6653 -901-C (20615),20615,Gallant,Nathan,7,41.18,7,41.18,1,5.88,2,11.76,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,17
EML-4501 -002-C (20916),20916,Baksh,Nicholas,13,19.40,36,53.73,15,22.39,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,4.48,0,0,67
EML-4312 -002-C (20917),20917,Yucelen,Tansel,14,28.57,21,42.86,11,22.45,2,4.08,1,2.04,0,0.00,0,0.00,0,0.00,0,0.00,0,0,49
EML-3041 -002-C (20918),20918,Kaw,Autar,27,47.37,17,29.82,13,22.81,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,57
EML-3500 -002-C (21216),21216,Volinsky,Alexei,56,50.91,43,39.09,7,6.36,1,0.91,1,0.91,0,0.00,0,0.00,0,0.00,2,1.82,0,0,110
EML-4536 -001-C (22599),22599,Mujumdar,Ajit,10,14.93,26,38.81,23,34.33,5,7.46,2,2.99,0,0.00,0,0.00,0,0.00,1,1.49,0,0,67
EML-3035 -901-C (23221),23221,Goni Rodrigo,Miguel,18,51.43,7,20.00,4,11.43,1,2.86,3,8.57,0,0.00,0,0.00,0,0.00,2,5.71,0,0,35
EML-3035 -902-C (23222),23222,Goni Rodrigo,Miguel,10,40.00,2,8.00,7,28.00,2,8.00,1,4.00,0,0.00,0,0.00,0,0.00,3,12.00,0,0,25
BME-4440 -002-C (23225),23225,Carey,Stephanie,6,54.55,5,45.45,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,11
EML-4930 -005-C (23249),23249,Mujumdar,Ajit,9,22.50,17,42.50,11,27.50,1,2.50,1,2.50,0,0.00,0,0.00,0,0.00,1,2.50,0,0,40
EGN-3000L-007-L (24985),24985,Gaines,Jonathan,66,73.33,13,14.44,6,6.67,0,0.00,3,3.33,0,0.00,0,0.00,0,0.00,2,2.22,0,0,90
EGN-3000L-007I-L (24985),24985,Gaines,Jonathan,5,55.56,3,33.33,0,0.00,0,0.00,1,11.11,0,0.00,0,0.00,0,0.00,0,0.00,0,0,9
BME-4100 -001-C (17871),17871,Frisina,Robert,17,36.96,21,45.65,5,10.87,2,4.35,0,0.00,0,0.00,0,0.00,0,0.00,1,2.17,0,0,46
EGN-3000L-005-L (18480),18480,Akintewe,Olukemi,75,79.79,10,10.64,6,6.38,0,0.00,1,1.06,0,0.00,0,0.00,0,0.00,2,2.13,0,0,94
EGN-3000L-005I-L (18480),18480,Akintewe,Olukemi,4,66.67,1,16.67,1,16.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,6
BME-6931 -005-C (21613),21613,Jiang,Huabei,5,38.46,6,46.15,2,15.38,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,13
BME-3053 -001-C (22021),22021,Zekri,Souheil,17,58.62,11,37.93,0,0.00,1,3.45,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,29
BME-4056C-001-C (22022),22022,Akintewe,Olukemi,16,88.89,1,5.56,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,5.56,0,0,18
BME-4409 -001-C (22024),22024,Passaglia,Christopher,4,13.33,13,43.33,8,26.67,2,6.67,0,0.00,1,3.33,0,0.00,0,0.00,2,6.67,0,0,30
BME-3312 -001-C (22271),22271,Jaroszeski,Mark,23,79.31,6,20.69,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,29
BME-4056C-002-C (23223),23223,Akintewe,Olukemi,6,50.00,5,41.67,1,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,12
BME-4883C-001-C (23231),23231,Zekri,Souheil,6,42.86,8,57.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
BME-4883C-002-C (25034),25034,Zekri,Souheil,16,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,16
BME-3082 -001-C (25037),25037,Zekri,Souheil,26,89.66,3,10.34,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,29
BME-4914 -004-R (25762),25762,Spirou,George,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,4,80.00,1,20.00,0,0.00,0,0,5
EGN-3433 -901-C (11286),11286,Campbell,Scott,48,39.34,40,32.79,24,19.67,2,1.64,1,0.82,2,1.64,0,0.00,0,0.00,5,4.10,0,0,122
ECH-4123 -001-C (11687),11687,Gupta,Vinay,1,2.17,7,15.22,12,26.09,20,43.48,4,8.70,0,0.00,0,0.00,0,0.00,2,4.35,0,0,46
ECH-6931 -001-C (13507),13507,Stern,Lawrence,15,83.33,3,16.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,18
ECH-4241L-001-L (13513),13513,Pettit,Sandra,13,40.63,16,50.00,3,9.38,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,32
ECH-4241L-002-L (13514),13514,Pettit,Sandra,6,37.50,10,62.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,16
ECH-4241L-003-L (13515),13515,Pettit,Sandra,5,23.81,14,66.67,2,9.52,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,21
ECH-4931 -001-C (15645),15645,Lee,William,3,27.27,7,63.64,1,9.09,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,11
ECH-5785 -001-C (15657),15657,Alcantar,Norma,8,88.89,0,0.00,1,11.11,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,9
ECH-6931 -005-C (15658),15658,Alcantar,Norma,6,75.00,2,25.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,8
ECH-4241L-004-L (17870),17870,Pettit,Sandra,5,33.33,8,53.33,2,13.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,15
ECH-4944 -001-I (17873),17873,Campbell,Scott,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,14,100.00,0,0.00,0,0.00,0,0,14
ECH-3002 -001-C (17874),17874,Henderson,Clifford,14,30.43,15,32.61,4,8.70,3,6.52,3,6.52,0,0.00,0,0.00,0,0.00,7,15.22,0,0,46
ECH-3023 -001-C (17875),17875,Gupta,Vinay,4,6.90,12,20.69,11,18.97,18,31.03,1,1.72,0,0.00,0,0.00,0,0.00,12,20.69,0,0,58
ECH-4846 -001-C (17876),17876,Fawcett,Timothy,5,22.73,5,22.73,9,40.91,2,9.09,1,4.55,0,0.00,0,0.00,0,0.00,0,0.00,0,0,22
ECH-4418 -001-C (17877),17877,Stern,Lawrence,6,18.18,10,30.30,14,42.42,2,6.06,0,0.00,0,0.00,0,0.00,0,0.00,1,3.03,0,0,33
ECH-3266 -001-C (17878),17878,Koria,Piyush,4,14.81,6,22.22,10,37.04,2,7.41,5,18.52,0,0.00,0,0.00,0,0.00,0,0.00,0,0,27
ECH-4267 -001-C (17879),17879,Toomey,Ryan,8,16.67,12,25.00,17,35.42,10,20.83,1,2.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0,48
EGN-3000L-001-L (18478),18478,Pyayt,Anna,82,90.11,5,5.49,1,1.10,0,0.00,1,1.10,0,0.00,0,0.00,0,0.00,2,2.20,0,0,91
EGN-3000L-001I-L (18478),18478,Pyayt,Anna,7,77.78,2,22.22,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,9
ECH-4936 -001-C (18706),18706,Stern,Lawrence,19,95.00,1,5.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,20
ECH-6931 -006-C (20073),20073,Simmons,David,2,22.22,4,44.44,1,11.11,2,22.22,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,9
